name_model,classifier,run,task,accuracy,sensitivity,specificity,precision,recall,f1,kappa
RandomForestClassifier_1_1,RandomForestClassifier,1,1,0.6363636363636364,0.43478260869565216,0.8571428571428571,0.7692307692307693,0.43478260869565216,0.5555555555555555,0.28600405679513174
RandomForestClassifier_2_1,RandomForestClassifier,2,1,0.6818181818181818,0.5652173913043478,0.8095238095238095,0.7647058823529411,0.5652173913043478,0.65,0.3701431492842534
RandomForestClassifier_3_1,RandomForestClassifier,3,1,0.6818181818181818,0.6086956521739131,0.7619047619047619,0.7368421052631579,0.6086956521739131,0.6666666666666666,0.3675564681724845
RandomForestClassifier_4_1,RandomForestClassifier,4,1,0.75,0.6521739130434783,0.8571428571428571,0.8333333333333334,0.6521739130434783,0.7317073170731708,0.5040983606557377
RandomForestClassifier_5_1,RandomForestClassifier,5,1,0.6818181818181818,0.6086956521739131,0.7619047619047619,0.7368421052631579,0.6086956521739131,0.6666666666666666,0.3675564681724845
RandomForestClassifier_6_1,RandomForestClassifier,6,1,0.5909090909090909,0.391304347826087,0.8095238095238095,0.6923076923076923,0.391304347826087,0.5,0.19675456389452328
RandomForestClassifier_7_1,RandomForestClassifier,7,1,0.6590909090909091,0.6086956521739131,0.7142857142857143,0.7,0.6086956521739131,0.6511627906976744,0.32098765432098764
RandomForestClassifier_8_1,RandomForestClassifier,8,1,0.6136363636363636,0.5217391304347826,0.7142857142857143,0.6666666666666666,0.5217391304347826,0.5853658536585366,0.2336065573770492
RandomForestClassifier_9_1,RandomForestClassifier,9,1,0.6818181818181818,0.6956521739130435,0.6666666666666666,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.3623188405797101
RandomForestClassifier_10_1,RandomForestClassifier,10,1,0.5681818181818182,0.34782608695652173,0.8095238095238095,0.6666666666666666,0.34782608695652173,0.4571428571428571,0.153846153846154
RandomForestClassifier_11_1,RandomForestClassifier,11,1,0.5909090909090909,0.6086956521739131,0.5714285714285714,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.1801242236024846
RandomForestClassifier_12_1,RandomForestClassifier,12,1,0.5909090909090909,0.7391304347826086,0.42857142857142855,0.5862068965517241,0.7391304347826086,0.6538461538461539,0.16981132075471703
RandomForestClassifier_13_1,RandomForestClassifier,13,1,0.5681818181818182,0.5652173913043478,0.5714285714285714,0.5909090909090909,0.5652173913043478,0.5777777777777778,0.13636363636363646
RandomForestClassifier_14_1,RandomForestClassifier,14,1,0.5681818181818182,0.4782608695652174,0.6666666666666666,0.6111111111111112,0.4782608695652174,0.5365853658536586,0.14344262295081975
RandomForestClassifier_15_1,RandomForestClassifier,15,1,0.7272727272727273,0.782608695652174,0.6666666666666666,0.72,0.782608695652174,0.7499999999999999,0.45114345114345117
RandomForestClassifier_16_1,RandomForestClassifier,16,1,0.6363636363636364,0.5217391304347826,0.7619047619047619,0.7058823529411765,0.5217391304347826,0.6,0.280163599182004
RandomForestClassifier_17_1,RandomForestClassifier,17,1,0.6818181818181818,0.6956521739130435,0.6666666666666666,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.3623188405797101
