name_model,classifier,accuracy,sensitivity,specificity,precision,recall,f1,kappa
mixed_classifier_task_specific_1,mixed,0.8181818181818182,0.782608695652174,0.8571428571428571,0.8571428571428571,0.782608695652174,0.8181818181818182,0.6371134020618558
mixed_classifier_task_specific_2,mixed,0.8409090909090909,0.6956521739130435,1.0,1.0,0.6956521739130435,0.8205128205128205,0.6857142857142858
mixed_classifier_task_specific_3,mixed,0.8409090909090909,0.782608695652174,0.9047619047619048,0.9,0.782608695652174,0.8372093023255814,0.683127572016461
mixed_classifier_task_specific_4,mixed,0.9090909090909091,0.8695652173913043,0.9523809523809523,0.9523809523809523,0.8695652173913043,0.909090909090909,0.8185567010309279
mixed_classifier_task_specific_5,mixed,0.8863636363636364,0.782608695652174,1.0,1.0,0.782608695652174,0.878048780487805,0.7745901639344263
mixed_classifier_task_specific_6,mixed,0.9090909090909091,0.8260869565217391,1.0,1.0,0.8260869565217391,0.9047619047619047,0.8193018480492813
mixed_classifier_task_specific_7,mixed,0.9090909090909091,0.9130434782608695,0.9047619047619048,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.8178053830227743
mixed_classifier_task_specific_8,mixed,0.8636363636363636,0.7391304347826086,1.0,1.0,0.7391304347826086,0.85,0.7300613496932515
mixed_classifier_task_specific_9,mixed,0.8409090909090909,0.8260869565217391,0.8571428571428571,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.6818181818181819
mixed_classifier_task_specific_10,mixed,0.7272727272727273,0.5652173913043478,0.9047619047619048,0.8666666666666667,0.5652173913043478,0.6842105263157895,0.46232179226069253
mixed_classifier_task_specific_11,mixed,0.7954545454545454,0.7391304347826086,0.8571428571428571,0.85,0.7391304347826086,0.7906976744186046,0.5925925925925926
mixed_classifier_task_specific_12,mixed,0.8409090909090909,0.8260869565217391,0.8571428571428571,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.6818181818181819
mixed_classifier_task_specific_13,mixed,0.9318181818181818,0.8695652173913043,1.0,1.0,0.8695652173913043,0.9302325581395349,0.8641975308641975
mixed_classifier_task_specific_14,mixed,0.8863636363636364,0.8695652173913043,0.9047619047619048,0.9090909090909091,0.8695652173913043,0.888888888888889,0.7727272727272727
mixed_classifier_task_specific_15,mixed,0.8863636363636364,0.8695652173913043,0.9047619047619048,0.9090909090909091,0.8695652173913043,0.888888888888889,0.7727272727272727
mixed_classifier_task_specific_16,mixed,0.7954545454545454,0.6956521739130435,0.9047619047619048,0.8888888888888888,0.6956521739130435,0.7804878048780488,0.5942622950819672
mixed_classifier_task_specific_17,mixed,0.8181818181818182,0.8695652173913043,0.7619047619047619,0.8,0.8695652173913043,0.8333333333333333,0.6340956340956342
mixed_classifier_task_specific_18,mixed,0.7954545454545454,0.6956521739130435,0.9047619047619048,0.8888888888888888,0.6956521739130435,0.7804878048780488,0.5942622950819672
mixed_classifier_task_specific_19,mixed,0.8409090909090909,0.9130434782608695,0.7619047619047619,0.8076923076923077,0.9130434782608695,0.8571428571428572,0.6791666666666667
mixed_classifier_task_specific_20,mixed,0.8636363636363636,0.782608695652174,0.9523809523809523,0.9473684210526315,0.782608695652174,0.8571428571428571,0.728952772073922
