name_model,classifier,run,accuracy,sensitivity,specificity,precision,recall,f1,kappa
RandomForestClassifier_by_tasks_run1,RandomForestClassifier,1,0.7954545454545454,0.6956521739130435,0.9047619047619048,0.8888888888888888,0.6956521739130435,0.7804878048780488,0.5942622950819672
LogisticRegression_by_tasks_run1,LogisticRegression,1,0.8636363636363636,0.8695652173913043,0.8571428571428571,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.7267080745341615
KNeighborsClassifier_by_tasks_run1,KNeighborsClassifier,1,0.7272727272727273,0.5217391304347826,0.9523809523809523,0.9230769230769231,0.5217391304347826,0.6666666666666667,0.46450304259634884
LinearDiscriminantAnalysis_by_tasks_run1,LinearDiscriminantAnalysis,1,0.8181818181818182,0.7391304347826086,0.9047619047619048,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.6386036960985627
GaussianNB_by_tasks_run1,GaussianNB,1,0.7727272727272727,0.5652173913043478,1.0,1.0,0.5652173913043478,0.7222222222222222,0.5537525354969574
SVC_by_tasks_run1,SVC,1,0.8409090909090909,0.6956521739130435,1.0,1.0,0.6956521739130435,0.8205128205128205,0.6857142857142858
DecisionTreeClassifier_by_tasks_run1,DecisionTreeClassifier,1,0.7954545454545454,0.6521739130434783,0.9523809523809523,0.9375,0.6521739130434783,0.7692307692307693,0.5959183673469387
MLPClassifier_by_tasks_run1,MLPClassifier,1,0.9090909090909091,0.8260869565217391,1.0,1.0,0.8260869565217391,0.9047619047619047,0.8193018480492813
ExtraTreesClassifier_by_tasks_run1,ExtraTreesClassifier,1,0.7954545454545454,0.7391304347826086,0.8571428571428571,0.85,0.7391304347826086,0.7906976744186046,0.5925925925925926
AdaBoostClassifier_by_tasks_run1,AdaBoostClassifier,1,0.8636363636363636,0.7391304347826086,1.0,1.0,0.7391304347826086,0.85,0.7300613496932515
GradientBoostingClassifier_by_tasks_run1,GradientBoostingClassifier,1,0.8863636363636364,0.782608695652174,1.0,1.0,0.782608695652174,0.878048780487805,0.7745901639344263
XGBClassifier_by_tasks_run1,XGBClassifier,1,0.8409090909090909,0.8260869565217391,0.8571428571428571,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.6818181818181819
RandomForestClassifier_by_tasks_run2,RandomForestClassifier,2,0.8863636363636364,0.8260869565217391,0.9523809523809523,0.95,0.8260869565217391,0.8837209302325583,0.7736625514403292
LogisticRegression_by_tasks_run2,LogisticRegression,2,0.8409090909090909,0.7391304347826086,0.9523809523809523,0.9444444444444444,0.7391304347826086,0.8292682926829269,0.6844262295081968
KNeighborsClassifier_by_tasks_run2,KNeighborsClassifier,2,0.75,0.5652173913043478,0.9523809523809523,0.9285714285714286,0.5652173913043478,0.7027027027027025,0.5081300813008129
LinearDiscriminantAnalysis_by_tasks_run2,LinearDiscriminantAnalysis,2,0.7727272727272727,0.5652173913043478,1.0,1.0,0.5652173913043478,0.7222222222222222,0.5537525354969574
GaussianNB_by_tasks_run2,GaussianNB,2,0.7045454545454546,0.43478260869565216,1.0,1.0,0.43478260869565216,0.6060606060606061,0.42338709677419356
SVC_by_tasks_run2,SVC,2,0.7272727272727273,0.5217391304347826,0.9523809523809523,0.9230769230769231,0.5217391304347826,0.6666666666666667,0.46450304259634884
DecisionTreeClassifier_by_tasks_run2,DecisionTreeClassifier,2,0.75,0.5217391304347826,1.0,1.0,0.5217391304347826,0.6857142857142856,0.5101214574898786
MLPClassifier_by_tasks_run2,MLPClassifier,2,0.8181818181818182,0.6521739130434783,1.0,1.0,0.6521739130434783,0.7894736842105263,0.6415478615071284
ExtraTreesClassifier_by_tasks_run2,ExtraTreesClassifier,2,0.8409090909090909,0.7391304347826086,0.9523809523809523,0.9444444444444444,0.7391304347826086,0.8292682926829269,0.6844262295081968
AdaBoostClassifier_by_tasks_run2,AdaBoostClassifier,2,0.9318181818181818,0.9130434782608695,0.9523809523809523,0.9545454545454546,0.9130434782608695,0.9333333333333332,0.8636363636363635
GradientBoostingClassifier_by_tasks_run2,GradientBoostingClassifier,2,0.8409090909090909,0.782608695652174,0.9047619047619048,0.9,0.782608695652174,0.8372093023255814,0.683127572016461
XGBClassifier_by_tasks_run2,XGBClassifier,2,0.8409090909090909,0.8260869565217391,0.8571428571428571,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.6818181818181819
RandomForestClassifier_by_tasks_run3,RandomForestClassifier,3,0.8863636363636364,0.8695652173913043,0.9047619047619048,0.9090909090909091,0.8695652173913043,0.888888888888889,0.7727272727272727
LogisticRegression_by_tasks_run3,LogisticRegression,3,0.8409090909090909,0.8260869565217391,0.8571428571428571,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.6818181818181819
KNeighborsClassifier_by_tasks_run3,KNeighborsClassifier,3,0.8636363636363636,0.7391304347826086,1.0,1.0,0.7391304347826086,0.85,0.7300613496932515
LinearDiscriminantAnalysis_by_tasks_run3,LinearDiscriminantAnalysis,3,0.8409090909090909,0.7391304347826086,0.9523809523809523,0.9444444444444444,0.7391304347826086,0.8292682926829269,0.6844262295081968
GaussianNB_by_tasks_run3,GaussianNB,3,0.7272727272727273,0.4782608695652174,1.0,1.0,0.4782608695652174,0.6470588235294118,0.4666666666666667
SVC_by_tasks_run3,SVC,3,0.7954545454545454,0.6521739130434783,0.9523809523809523,0.9375,0.6521739130434783,0.7692307692307693,0.5959183673469387
DecisionTreeClassifier_by_tasks_run3,DecisionTreeClassifier,3,0.75,0.7391304347826086,0.7619047619047619,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.5
MLPClassifier_by_tasks_run3,MLPClassifier,3,0.8636363636363636,0.782608695652174,0.9523809523809523,0.9473684210526315,0.782608695652174,0.8571428571428571,0.728952772073922
ExtraTreesClassifier_by_tasks_run3,ExtraTreesClassifier,3,0.8636363636363636,0.8260869565217391,0.9047619047619048,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.7278350515463918
AdaBoostClassifier_by_tasks_run3,AdaBoostClassifier,3,0.8636363636363636,0.8260869565217391,0.9047619047619048,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.7278350515463918
GradientBoostingClassifier_by_tasks_run3,GradientBoostingClassifier,3,0.8409090909090909,0.8695652173913043,0.8095238095238095,0.8333333333333334,0.8695652173913043,0.851063829787234,0.6804979253112035
XGBClassifier_by_tasks_run3,XGBClassifier,3,0.8409090909090909,0.8260869565217391,0.8571428571428571,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.6818181818181819
RandomForestClassifier_by_tasks_run4,RandomForestClassifier,4,0.8636363636363636,0.8695652173913043,0.8571428571428571,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.7267080745341615
LogisticRegression_by_tasks_run4,LogisticRegression,4,0.7954545454545454,0.8260869565217391,0.7619047619047619,0.7916666666666666,0.8260869565217391,0.8085106382978724,0.5892116182572614
KNeighborsClassifier_by_tasks_run4,KNeighborsClassifier,4,0.7272727272727273,0.5652173913043478,0.9047619047619048,0.8666666666666667,0.5652173913043478,0.6842105263157895,0.46232179226069253
LinearDiscriminantAnalysis_by_tasks_run4,LinearDiscriminantAnalysis,4,0.7954545454545454,0.7391304347826086,0.8571428571428571,0.85,0.7391304347826086,0.7906976744186046,0.5925925925925926
GaussianNB_by_tasks_run4,GaussianNB,4,0.8636363636363636,0.782608695652174,0.9523809523809523,0.9473684210526315,0.782608695652174,0.8571428571428571,0.728952772073922
SVC_by_tasks_run4,SVC,4,0.7954545454545454,0.6086956521739131,1.0,1.0,0.6086956521739131,0.7567567567567568,0.597560975609756
DecisionTreeClassifier_by_tasks_run4,DecisionTreeClassifier,4,0.7954545454545454,0.782608695652174,0.8095238095238095,0.8181818181818182,0.782608695652174,0.8,0.5909090909090908
MLPClassifier_by_tasks_run4,MLPClassifier,4,0.7954545454545454,0.7391304347826086,0.8571428571428571,0.85,0.7391304347826086,0.7906976744186046,0.5925925925925926
ExtraTreesClassifier_by_tasks_run4,ExtraTreesClassifier,4,0.8181818181818182,0.8260869565217391,0.8095238095238095,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.6356107660455488
AdaBoostClassifier_by_tasks_run4,AdaBoostClassifier,4,0.8181818181818182,0.782608695652174,0.8571428571428571,0.8571428571428571,0.782608695652174,0.8181818181818182,0.6371134020618558
GradientBoostingClassifier_by_tasks_run4,GradientBoostingClassifier,4,0.7954545454545454,0.8260869565217391,0.7619047619047619,0.7916666666666666,0.8260869565217391,0.8085106382978724,0.5892116182572614
XGBClassifier_by_tasks_run4,XGBClassifier,4,0.75,0.782608695652174,0.7142857142857143,0.75,0.782608695652174,0.7659574468085107,0.49792531120331956
RandomForestClassifier_by_tasks_run5,RandomForestClassifier,5,0.9090909090909091,0.8260869565217391,1.0,1.0,0.8260869565217391,0.9047619047619047,0.8193018480492813
LogisticRegression_by_tasks_run5,LogisticRegression,5,0.7954545454545454,0.6956521739130435,0.9047619047619048,0.8888888888888888,0.6956521739130435,0.7804878048780488,0.5942622950819672
KNeighborsClassifier_by_tasks_run5,KNeighborsClassifier,5,0.7954545454545454,0.6086956521739131,1.0,1.0,0.6086956521739131,0.7567567567567568,0.597560975609756
LinearDiscriminantAnalysis_by_tasks_run5,LinearDiscriminantAnalysis,5,0.8409090909090909,0.6956521739130435,1.0,1.0,0.6956521739130435,0.8205128205128205,0.6857142857142858
GaussianNB_by_tasks_run5,GaussianNB,5,0.6818181818181818,0.391304347826087,1.0,1.0,0.391304347826087,0.5625,0.380281690140845
SVC_by_tasks_run5,SVC,5,0.7727272727272727,0.5652173913043478,1.0,1.0,0.5652173913043478,0.7222222222222222,0.5537525354969574
DecisionTreeClassifier_by_tasks_run5,DecisionTreeClassifier,5,0.8636363636363636,0.7391304347826086,1.0,1.0,0.7391304347826086,0.85,0.7300613496932515
MLPClassifier_by_tasks_run5,MLPClassifier,5,0.7727272727272727,0.5652173913043478,1.0,1.0,0.5652173913043478,0.7222222222222222,0.5537525354969574
ExtraTreesClassifier_by_tasks_run5,ExtraTreesClassifier,5,0.8409090909090909,0.7391304347826086,0.9523809523809523,0.9444444444444444,0.7391304347826086,0.8292682926829269,0.6844262295081968
AdaBoostClassifier_by_tasks_run5,AdaBoostClassifier,5,0.8863636363636364,0.8260869565217391,0.9523809523809523,0.95,0.8260869565217391,0.8837209302325583,0.7736625514403292
GradientBoostingClassifier_by_tasks_run5,GradientBoostingClassifier,5,0.9090909090909091,0.8260869565217391,1.0,1.0,0.8260869565217391,0.9047619047619047,0.8193018480492813
XGBClassifier_by_tasks_run5,XGBClassifier,5,0.8409090909090909,0.7391304347826086,0.9523809523809523,0.9444444444444444,0.7391304347826086,0.8292682926829269,0.6844262295081968
RandomForestClassifier_by_tasks_run6,RandomForestClassifier,6,0.7954545454545454,0.782608695652174,0.8095238095238095,0.8181818181818182,0.782608695652174,0.8,0.5909090909090908
LogisticRegression_by_tasks_run6,LogisticRegression,6,0.75,0.7391304347826086,0.7619047619047619,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.5
KNeighborsClassifier_by_tasks_run6,KNeighborsClassifier,6,0.8409090909090909,0.6956521739130435,1.0,1.0,0.6956521739130435,0.8205128205128205,0.6857142857142858
LinearDiscriminantAnalysis_by_tasks_run6,LinearDiscriminantAnalysis,6,0.8409090909090909,0.6956521739130435,1.0,1.0,0.6956521739130435,0.8205128205128205,0.6857142857142858
GaussianNB_by_tasks_run6,GaussianNB,6,0.7727272727272727,0.6086956521739131,0.9523809523809523,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.5519348268839104
SVC_by_tasks_run6,SVC,6,0.8181818181818182,0.6521739130434783,1.0,1.0,0.6521739130434783,0.7894736842105263,0.6415478615071284
DecisionTreeClassifier_by_tasks_run6,DecisionTreeClassifier,6,0.7727272727272727,0.6521739130434783,0.9047619047619048,0.8823529411764706,0.6521739130434783,0.75,0.5501022494887525
MLPClassifier_by_tasks_run6,MLPClassifier,6,0.8409090909090909,0.7391304347826086,0.9523809523809523,0.9444444444444444,0.7391304347826086,0.8292682926829269,0.6844262295081968
ExtraTreesClassifier_by_tasks_run6,ExtraTreesClassifier,6,0.7954545454545454,0.6956521739130435,0.9047619047619048,0.8888888888888888,0.6956521739130435,0.7804878048780488,0.5942622950819672
AdaBoostClassifier_by_tasks_run6,AdaBoostClassifier,6,0.8863636363636364,0.8260869565217391,0.9523809523809523,0.95,0.8260869565217391,0.8837209302325583,0.7736625514403292
GradientBoostingClassifier_by_tasks_run6,GradientBoostingClassifier,6,0.8181818181818182,0.782608695652174,0.8571428571428571,0.8571428571428571,0.782608695652174,0.8181818181818182,0.6371134020618558
XGBClassifier_by_tasks_run6,XGBClassifier,6,0.8181818181818182,0.8260869565217391,0.8095238095238095,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.6356107660455488
RandomForestClassifier_by_tasks_run7,RandomForestClassifier,7,0.8863636363636364,0.9130434782608695,0.8571428571428571,0.875,0.9130434782608695,0.8936170212765957,0.7717842323651453
LogisticRegression_by_tasks_run7,LogisticRegression,7,0.7954545454545454,0.8260869565217391,0.7619047619047619,0.7916666666666666,0.8260869565217391,0.8085106382978724,0.5892116182572614
KNeighborsClassifier_by_tasks_run7,KNeighborsClassifier,7,0.8636363636363636,0.7391304347826086,1.0,1.0,0.7391304347826086,0.85,0.7300613496932515
LinearDiscriminantAnalysis_by_tasks_run7,LinearDiscriminantAnalysis,7,0.8181818181818182,0.7391304347826086,0.9047619047619048,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.6386036960985627
GaussianNB_by_tasks_run7,GaussianNB,7,0.75,0.5652173913043478,0.9523809523809523,0.9285714285714286,0.5652173913043478,0.7027027027027025,0.5081300813008129
SVC_by_tasks_run7,SVC,7,0.75,0.6086956521739131,0.9047619047619048,0.875,0.6086956521739131,0.717948717948718,0.5061224489795919
